area_type,Available month,Available status,availability,location,Sizes,bath,balcony,price,Total_Sqft
Super built-up  Area,June,Scheduled dates,18-Jun,Bannerghatta,2 BHK,2,1,42.50,1120.00
Super built-up  Area, ,Ready To Move,Ready To Move,Lake City,1 BHK,1,1,22.80,600.00
Super built-up  Area,December,Scheduled dates,18-Dec,Whitefield,3 BHK,4,1,157.00,2321.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bhagyalakshmi Avenue,1 BHK,1,2,24.00,540.00
Built-up  Area, ,Ready To Move,Ready To Move,Hebbal,2 BHK,2,1,57.00,1150.00
Built-up  Area, ,Ready To Move,Ready To Move,Sonnenahalli,3 BHK,3,1,75.00,1484.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ramagondanahalli,3 BHK,2,Not Provided,68.00,1680.00
Super built-up  Area, ,Ready To Move,Ready To Move,Byagadadhenahalli,2 BHK,2,1,23.00,620.00
Super built-up  Area, ,Ready To Move,Ready To Move,Dodda Banaswadi,3 BHK,3,2,78.00,1650.00
Super built-up  Area,April,Scheduled dates,18-Apr,Chuchangatta Colony,3 BHK,3,2,44.00,1250.00
Super built-up  Area,August,Scheduled dates,18-Aug,Hanuman Nagar,3 BHK,3,2,108.00,2072.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,2 BHK,2,2,40.00,1105.00
Super built-up  Area, ,Ready To Move,Ready To Move,Vidyaranyapura,2 BHK,2,2,60.50,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Kumaraswami Layout,7 BHK,7,3,145.00,3100.00
Plot  Area, ,Ready To Move,Ready To Move,Whitefield,4 BHK,4,3,530.00,4007.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,16.00,550.00
Super built-up  Area, ,Ready To Move,Ready To Move,Banashankari,3 BHK,2,2,53.60,1340.00
Super built-up  Area, ,Ready To Move,Ready To Move,Rajaji Nagar,3 BHK,3,3,395.00,2409.00
Super built-up  Area, ,Ready To Move,Ready To Move,Vittasandra,2 BHK,2,1,65.00,1246.00
Built-up  Area, ,Ready To Move,Ready To Move,Old Airport Road,2 BHK,2,3,75.00,1055.00
Super built-up  Area,December,Scheduled dates,18-Dec,Hosa Road,3 BHK,3,1,69.61,1541.00
Built-up  Area, ,Ready To Move,Ready To Move,Harlur,2 BHK,2,2,88.00,1370.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,2 BHK,2,2,75.00,1224.00
Plot  Area, ,Ready To Move,Ready To Move,Kengeri Satellite Town,4 BHK,2,1,58.00,650.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yeshwanthpur,3 BHK,3,Not Provided,92.13,1676.00
Built-up  Area, ,Ready To Move,Ready To Move,Shree Ananth Nagar Layout,2 BHK,2,1,57.00,1154.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,3 BHK,3,3,78.50,1610.00
Super built-up  Area, ,Ready To Move,Ready To Move,Devasthanagalu,2 BHK,2,1,42.00,1057.00
Super built-up  Area,July,Scheduled dates,18-Jul,Raja Rajeshwari Nagar,2 BHK,2,1,65.00,1157.00
Plot  Area,May,Scheduled dates,18-May,Doddagubbi,4 BHK,4,1,85.00,1200.00
Plot  Area, ,Ready To Move,Ready To Move,Dasappa Layout,7 BHK,7,3,130.00,1500.00
Super built-up  Area, ,Ready To Move,Ready To Move,Gulimangala,2 BHK,2,3,35.00,980.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,2 BHK,2,1,40.00,1140.00
Super built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,1,40.70,1206.00
Built-up  Area, ,Ready To Move,Ready To Move,Electronic City Phase II,1 BHK,1,1,16.75,575.00
Super built-up  Area, ,Ready To Move,Ready To Move,Koramangala,3 BHK,3,1,170.00,1600.00
Plot  Area, ,Ready To Move,Ready To Move,1st Stage Indira Nagar,4 BHK,4,1,500.00,2400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Horamavu Agara,3 BHK,2,2,52.00,1300.00
Super built-up  Area,December,Scheduled dates,18-Dec,Tunganagara,3 BHK,2,1,35.56,1270.00
Super built-up  Area,April,Scheduled dates,18-Apr,Electronic City,2 BHK,2,1,63.50,1128.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronics City Phase 1,1 BHK,1,1,45.00,640.00
Super built-up  Area, ,Ready To Move,Ready To Move,4th T block Jayanagar,3 BHK,3,2,185.00,2400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,1 BHK,1,1,29.00,589.00
Super built-up  Area,April,Scheduled dates,18-Apr,Electronic City,2 BHK,2,1,28.13,1125.00
Plot  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,4 BHK,4,2,500.00,3150.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kundalahalli,2 BHK,2,3,74.00,1315.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bellandur,3 BHK,2,2,115.00,1435.00
Super built-up  Area,May,Scheduled dates,18-May,Kadugodi,2 BHK,2,3,80.00,1314.00
Super built-up  Area, ,Ready To Move,Ready To Move,Koramangala,2 BHK,2,1,100.00,1260.00
Plot  Area, ,Ready To Move,Ready To Move,Srirampura,7 BHK,5,1,192.00,1875.00
Super built-up  Area, ,Ready To Move,Ready To Move,Nagarbhavi,2 BHK,2,1,49.00,1080.00
Built-up  Area, ,Ready To Move,Ready To Move,Nagasandra,8 BHK,8,3,160.00,4000.00
Super built-up  Area,February,Scheduled dates,18-Feb,Mysore Road,3 BHK,2,1,45.00,1082.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jakkur,3 BHK,3,2,65.00,1150.00
Super built-up  Area,December,Scheduled dates,18-Dec,Hennur Road,2 BHK,2,1,34.72,1052.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yelahanka,2 BHK,2,1,45.00,1045.00
Built-up  Area, ,Ready To Move,Ready To Move,Kodigehaali,3 BHK,3,2,80.00,1442.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaggadasapura,3 BHK,2,2,75.00,1500.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hennur,2 BHK,2,1,53.57,1255.00
Super built-up  Area,January,Scheduled dates,22-Jan,Vajarahalli,3 BHK,3,2,79.00,1432.00
Built-up  Area, ,Ready To Move,Ready To Move,Kundalahalli,3 BHK,3,2,150.00,2100.00
Built-up  Area, ,Ready To Move,Ready To Move,Hennur Road,2 BHK,2,2,80.00,1450.00
Super built-up  Area,May,Scheduled dates,18-May,Sarjapur  Road,2 BHK,2,1,69.61,1346.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kumaraswami Layout,2 BHK,2,2,29.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City Phase II,3 BHK,2,1,49.82,925.00
Super built-up  Area, ,Ready To Move,Ready To Move,Dasarahalli,2 BHK,2,2,49.00,1160.00
Super built-up  Area,April,Scheduled dates,18-Apr,Lingadheeranahalli,3 BHK,3,3,81.31,1768.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kothanur,2 BHK,2,2,54.00,1094.00
Super built-up  Area, ,Ready To Move,Ready To Move,Seetharampalya,3 BHK,3,3,90.00,1500.00
Built-up  Area, ,Ready To Move,Ready To Move,Gubbalala,3 BHK,3,2,130.00,1745.00
Built-up  Area, ,Ready To Move,Ready To Move,Bommanahalli,7 BHK,7,Not Provided,85.00,2875.00
Super built-up  Area, ,Ready To Move,Ready To Move,Byadarahalli,4 BHK,3,3,425.00,3500.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sonnenahalli,3 BHK,3,1,50.00,1550.00
Super built-up  Area, ,Ready To Move,Ready To Move,Rajiv Nagar,4 BHK,5,1,160.00,2340.00
Super built-up  Area,March,Scheduled dates,19-Mar,Whitefield,3 BHK,3,2,113.00,1655.00
Super built-up  Area,January,Scheduled dates,19-Jan,Battarahalli,3 BHK,3,2,103.00,2024.00
Built-up  Area, ,Ready To Move,Ready To Move,Siddapura,4 BHK,5,0,425.00,3100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jalahalli,3 BHK,4,3,100.00,1575.00
Built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,4 BHK,4,2,744.00,6200.00
Super built-up  Area, ,Ready To Move,Ready To Move,BTM 2nd Stage,3 BHK,2,3,55.00,1265.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kengeri Satellite Town KHB Apartment,3 BHK,2,2,45.00,1100.00
Plot  Area, ,Ready To Move,Ready To Move,Margondanahalli,2 BHK,2,1,65.00,1160.00
Super built-up  Area, ,Ready To Move,Ready To Move,Vittasandra,2 BHK,2,1,67.40,1246.00
Super built-up  Area,March,Scheduled dates,19-Mar,Hosa Road,1 BHK,1,1,43.08,615.00
Super built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,2 BHK,2,1,60.00,1128.00
Super built-up  Area, ,Ready To Move,Ready To Move,Tirumanahalli,2 BHK,2,1,55.00,1260.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bellandur,3 BHK,3,3,89.89,1830.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur,3 BHK,2,2,68.00,1525.00
Super built-up  Area,January,Scheduled dates,18-Jan,Yelahanka,1 BHK,2,1,30.00,602.00
Built-up  Area, ,Ready To Move,Ready To Move,Kumaraswami Layout,7 BHK,4,2,400.00,3000.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hegde Nagar,3 BHK,3,3,89.00,1835.00
Built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,3 BHK,3,3,62.60,1250.00
Plot  Area, ,Ready To Move,Ready To Move,Subhash Nagar,4 BHK,4,1,110.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Murugeshpalya,3 BHK,3,3,96.00,1855.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,3 BHK,3,2,148.00,2089.00
Plot  Area, ,Ready To Move,Ready To Move,Banashankari Stage VI,4 BHK,3,2,200.00,4800.00
Built-up  Area, ,Ready To Move,Ready To Move,Begur Road,2 BHK,2,2,44.73,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur,2 BHK,2,1,45.00,1095.00
Plot  Area, ,Ready To Move,Ready To Move,Ambedkar Nagar,3 BHK,3,2,297.00,2900.00
Super built-up  Area, ,Ready To Move,Ready To Move,BTM 2nd Stage,3 BHK,3,2,345.00,2500.00
Built-up  Area, ,Ready To Move,Ready To Move,Kothanur,3 BHK,3,2,80.00,1170.00
Super built-up  Area, ,Ready To Move,Ready To Move,6th Phase JP Nagar,2 BHK,2,1,88.00,1280.00
Super built-up  Area,July,Scheduled dates,18-Jul,Rajaji Nagar,2 BHK,2,0,105.00,1224.00
Built-up  Area, ,Ready To Move,Ready To Move,Thanisandra,3 BHK,3,1,125.00,1694.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,30.00,825.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,3 BHK,3,1,98.38,1612.00
Super built-up  Area,August,Scheduled dates,18-Aug,Chandapura,2 BHK,2,1,25.12,985.00
Super built-up  Area, ,Ready To Move,Ready To Move,Murugeshpalya,2 BHK,2,2,75.00,1175.00
Plot  Area, ,Ready To Move,Ready To Move,Sunkadakatte,1 BHK,1,0,24.00,600.00
Built-up  Area, ,Ready To Move,Ready To Move,Whitefield,3 BHK,3,3,85.00,1740.00
Super built-up  Area, ,Ready To Move,Ready To Move,Carmelaram,3 BHK,3,2,99.00,1770.00
Plot  Area, ,Ready To Move,Ready To Move,HAL 2nd Stage,8 BHK,7,3,260.00,1000.00
Super built-up  Area,August,Scheduled dates,18-Aug,Horamavu Agara,2 BHK,2,1,46.00,1090.00
Plot  Area, ,Ready To Move,Ready To Move,Vasanth nagar,6 BHK,3,0,650.00,2295.00
Built-up  Area, ,Ready To Move,Ready To Move,Whitefield,5 BHK,5,1,331.00,4144.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jogupalya,3 BHK,3,1,130.00,1800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jigani,3 BHK,3,3,65.00,1221.00
Super built-up  Area,June,Scheduled dates,18-Jun,8th Phase JP Nagar,2 BHK,2,1,48.00,1046.00
Super built-up  Area, ,Ready To Move,Ready To Move,Uttarahalli,3 BHK,2,3,56.12,1290.00
Built-up  Area,December,Scheduled dates,18-Dec,Electronic City Phase II,2 BHK,2,1,30.76,1065.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ambedkar Nagar,3 BHK,4,2,121.00,1850.00
Super built-up  Area, ,Ready To Move,Ready To Move,Battarahalli,2 BHK,2,1,49.00,1097.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kalena Agrahara,2 BHK,3,2,70.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Varthur,3 BHK,3,2,170.00,2160.00
Super built-up  Area,May,Scheduled dates,18-May,Anekal,2 BHK,2,2,52.00,1140.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thigalarapalya,2 BHK,2,2,98.00,1297.00
Super built-up  Area, ,Ready To Move,Ready To Move,Padmanabhanagar,2 BHK,2,0,50.00,1150.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kuvempu Nagar,2 BHK,2,1,45.00,1375.00
Super built-up  Area, ,Ready To Move,Ready To Move,Babusapalaya,2 BHK,2,2,58.00,1245.00
Super built-up  Area,March,Scheduled dates,18-Mar,Vasanth nagar,4 BHK,6,1,948.00,4750.00
Built-up  Area, ,Ready To Move,Ready To Move,Nagarbhavi,4 BHK,3,0,180.00,1800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Brookefield,3 BHK,3,2,140.00,1594.00
Super built-up  Area,December,Scheduled dates,20-Dec,Kanakpura Road,2 BHK,2,2,36.00,700.00
Built-up  Area, ,Ready To Move,Ready To Move,Rajaji Nagar,5 BHK,4,0,650.00,2500.00
Built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,0,50.00,1000.00
Plot  Area, ,Ready To Move,Ready To Move,Whitefield,6 BHK,5,1,540.00,4000.00
Super built-up  Area, ,Ready To Move,Ready To Move,Begur Road,2 BHK,2,2,42.00,1160.00
Plot  Area, ,Ready To Move,Ready To Move,Uday Nagar,6 BHK,6,0,85.00,1200.00
Plot  Area, ,Ready To Move,Ready To Move,OMBR Layout,5 BHK,3,0,140.00,600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Gopalkrishna Nagar,3 BHK,2,2,95.00,1570.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,2 BHK,2,2,88.00,1290.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kudlu Gate,2 BHK,2,1,44.40,1200.00
Super built-up  Area,April,Scheduled dates,20-Apr,Langford Gardens,3 BHK,5,2,649.00,2777.29
Super built-up  Area, ,Ready To Move,Ready To Move,Shanti Nagar,3 BHK,3,0,180.00,2250.00
Built-up  Area, ,Ready To Move,Ready To Move,Defence Colony,2 BHK,2,Not Provided,172.00,1270.00
Super built-up  Area, ,Ready To Move,Ready To Move,Akshayanagara East,2 BHK,2,2,44.00,1145.00
Super built-up  Area, ,Ready To Move,Ready To Move,Chikkabanavar,3 BHK,2,2,46.00,1320.00
Built-up  Area,August,Scheduled dates,18-Aug,Electronic City Phase II,2 BHK,2,1,30.75,1065.00
Built-up  Area,March,Scheduled dates,18-Mar,Whitefield,3 BHK,3,2,48.00,1650.00
Super built-up  Area,April,Scheduled dates,18-Apr,Sarjapur  Road,2 BHK,2,1,86.00,1371.00
Built-up  Area, ,Ready To Move,Ready To Move,Doddanakunte,5 BHK,5,2,150.00,2700.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,3 BHK,3,1,94.50,1575.00
Super built-up  Area,January,Scheduled dates,18-Jan,Yelahanka,2 BHK,2,2,66.00,1362.00
Super built-up  Area, ,Ready To Move,Ready To Move,Haralur Road,3 BHK,3,1,90.00,1255.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,2 BHK,2,1,35.00,925.00
Super built-up  Area,December,Scheduled dates,19-Dec,Electronics City Phase 1,2 BHK,2,1,30.46,1088.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,3 BHK,3,2,139.00,2140.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thubarahalli,3 BHK,3,2,101.00,1584.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,2 BHK,2,2,50.00,1175.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapura - Attibele Road,3 BHK,3,3,52.00,1555.00
Super built-up  Area, ,Ready To Move,Ready To Move,Dodda Nekkundi,3 BHK,2,2,79.00,1585.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kalena Agrahara,2 BHK,2,2,71.00,1354.00
Super built-up  Area,June,Scheduled dates,18-Jun,Madiwala,2 BHK,2,2,45.00,1165.00
Built-up  Area, ,Ready To Move,Ready To Move,Kumaraswami Layout,3 BHK,3,1,75.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hebbal,3 BHK,2,1,137.00,1740.00
Plot  Area, ,Ready To Move,Ready To Move,Hebbal,9 BHK,9,Not Provided,185.00,1200.00
Super built-up  Area,December,Scheduled dates,20-Dec,Rachenahalli,2 BHK,2,1,50.17,985.00
Plot  Area, ,Ready To Move,Ready To Move,Kattigenahalli,3 BHK,4,2,70.00,600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Duddanahalli,3 BHK,2,2,47.00,1340.00
Super built-up  Area,August,Scheduled dates,20-Aug,Begur Road,3 BHK,3,1,95.23,1583.00
Plot  Area, ,Ready To Move,Ready To Move,"Beml layout, Rajarajeshwari nagar",4 BHK,5,Not Provided,325.00,1200.00
Plot  Area, ,Ready To Move,Ready To Move,Basaveshwara Nagar,2 BHK,1,1,180.00,1200.00
Super built-up  Area,December,Scheduled dates,22-Dec,Bannerghatta Road,2 BHK,2,0,61.74,1122.50
Super built-up  Area,December,Scheduled dates,17-Dec,Thanisandra,3 BHK,3,2,100.00,1573.00
Super built-up  Area,January,Scheduled dates,18-Jan,CV Raman Nagar,2 BHK,2,2,42.88,1227.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yemlur,2 BHK,2,1,60.00,1210.00
Super built-up  Area,February,Scheduled dates,19-Feb,Basavangudi,3 BHK,3,3,125.00,1650.00
Plot  Area, ,Ready To Move,Ready To Move,Chikkalasandra,5 BHK,4,2,300.00,1000.00
Super built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,3 BHK,2,2,63.00,1485.00
Super built-up  Area, ,Ready To Move,Ready To Move,Haralur Road,3 BHK,3,2,97.00,1735.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hebbal Kempapura,3 BHK,3,2,175.00,1730.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sector 1 HSR Layout,3 BHK,3,2,86.00,1684.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sai Gardens,3 BHK,3,3,77.00,1686.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bikasipura,3 BHK,3,3,82.00,1654.00
Built-up  Area, ,Ready To Move,Ready To Move,Green Glen Layout,3 BHK,3,3,105.00,1600.00
Built-up  Area, ,Ready To Move,Ready To Move,KR Puram,2 BHK,2,1,39.90,1100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bannerghatta Road,3 BHK,3,3,95.00,1655.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hennur,3 BHK,3,3,121.00,1830.00
Super built-up  Area,April,Scheduled dates,18-Apr,Hebbal,3 BHK,3,1,85.00,1430.00
Super built-up  Area, ,Ready To Move,Ready To Move,Judicial Layout,3 BHK,4,3,155.00,1989.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,2 BHK,2,2,55.00,1044.00
Super built-up  Area, ,Ready To Move,Ready To Move,Banashankari,3 BHK,3,2,85.00,1426.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yelahanka,2 BHK,2,1,29.00,1000.00
Plot  Area,January,Scheduled dates,18-Jan,Kathriguppe,2 BHK,2,0,69.99,754.00
Built-up  Area,December,Scheduled dates,18-Dec,Electronic City Phase II,2 BHK,2,1,33.06,1140.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kodichikkanahalli,2 BHK,2,1,35.00,900.00
Built-up  Area, ,Ready To Move,Ready To Move,Gulakamale,2 BHK,2,3,50.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Malleshwaram,1 BHK,1,1,45.00,580.00
Super built-up  Area,April,Scheduled dates,18-Apr,Munnekollal,2 BHK,2,1,50.36,1030.00
Super built-up  Area, ,Ready To Move,Ready To Move,Koramangala,3 BHK,4,3,150.00,1910.00
Super built-up  Area, ,Ready To Move,Ready To Move,Mahalakshmi Puram,3 BHK,3,3,132.00,1950.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kundalahalli,3 BHK,3,1,125.00,1724.00
Plot  Area, ,Ready To Move,Ready To Move,Konanakunte Cross,3 BHK,2,2,130.00,1200.00
Plot  Area, ,Ready To Move,Ready To Move,Rajaji Nagar,2 BHK,2,0,225.00,1314.00
Built-up  Area, ,Ready To Move,Ready To Move,Kothanur,2 BHK,2,2,65.00,1400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaggadasapura,3 BHK,2,2,68.00,1400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hulimavu,2 BHK,2,2,44.60,1115.00
Built-up  Area, ,Ready To Move,Ready To Move,Bharathi Nagar,2 BHK,2,2,55.86,1300.00
Built-up  Area, ,Ready To Move,Ready To Move,Arishinakunte,4 BHK,4,1,150.00,2400.00
Super built-up  Area,July,Scheduled dates,19-Jul,Kanakpura Road,2 BHK,2,1,108.00,1332.00
Super built-up  Area, ,Ready To Move,Ready To Move,Abbigere,2 BHK,2,1,41.00,1000.00
Plot  Area,December,Scheduled dates,18-Dec,Whitefield,3 BHK,3,2,67.75,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Whitefield,4 BHK,4,Not Provided,145.00,2444.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,3 BHK,3,1,85.00,1600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,2 BHK,2,2,57.95,1196.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,54.00,1025.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,3 BHK,4,3,180.00,2180.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jakkasandra,3 BHK,3,2,102.00,1600.00
Built-up  Area, ,Ready To Move,Ready To Move,Whitefield,2 BHK,2,1,110.00,1270.00
Built-up  Area, ,Ready To Move,Ready To Move,Shanthala Nagar,3 BHK,4,Not Provided,460.00,3290.00
Super built-up  Area,May,Scheduled dates,22-May,Jakkur,3 BHK,3,2,183.00,1932.47
Super built-up  Area, ,Ready To Move,Ready To Move,Jalahalli,3 BHK,3,2,160.00,2086.00
Super built-up  Area,December,Scheduled dates,19-Dec,Old Madras Road,2 BHK,2,1,51.42,1165.00
Super built-up  Area, ,Ready To Move,Ready To Move,Rajaji Nagar,2 BHK,2,2,165.00,1440.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronics City Phase 1,3 BHK,3,2,85.00,1900.00
Built-up  Area, ,Ready To Move,Ready To Move,Chandapura,2 BHK,1,1,22.00,740.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yeshwanthpur,3 BHK,3,3,138.00,2503.00
Super built-up  Area,August,Scheduled dates,18-Aug,Bellandur,2 BHK,2,2,83.50,1260.00
Built-up  Area, ,Ready To Move,Ready To Move,Tumkur Road,4 BHK,2,1,60.00,1100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Green Glen Layout,3 BHK,3,3,125.00,1717.00
Super built-up  Area,May,Scheduled dates,18-May,Chellikere,2 BHK,2,2,46.00,1088.00
Super built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,3 BHK,2,1,56.00,1335.00
Super built-up  Area, ,Ready To Move,Ready To Move,Vidyaranyapura,2 BHK,2,1,42.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Garudachar Palya,3 BHK,2,2,60.00,1325.00
Super built-up  Area, ,Ready To Move,Ready To Move,JP Nagar,2 BHK,2,1,73.00,1157.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sahakara Nagar,2 BHK,2,1,54.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Pai Layout,3 BHK,2,2,65.00,1510.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bommanahalli,2 BHK,2,2,54.00,1050.00
Super built-up  Area, ,Ready To Move,Ready To Move,Chikkadunnasandra,2 BHK,2,2,45.00,1200.00
Super built-up  Area,May,Scheduled dates,18-May,Binny Pete,3 BHK,3,1,147.00,1516.00
Plot  Area, ,Ready To Move,Ready To Move,Indira Nagar,6 BHK,6,2,475.00,2400.00
Super built-up  Area,December,Scheduled dates,18-Dec,Channasandra,2 BHK,2,1,44.41,1050.00
Plot  Area, ,Ready To Move,Ready To Move,Hegde Nagar,2 BHK,2,0,66.00,1000.00
Super built-up  Area,March,Scheduled dates,18-Mar,9th Phase JP Nagar,2 BHK,2,2,35.00,1050.00
Plot  Area, ,Ready To Move,Ready To Move,JP Nagar,4 BHK,5,Not Provided,110.00,600.00
Plot  Area, ,Ready To Move,Ready To Move,Ananth Nagar,4 BHK,3,2,62.00,600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hormavu,2 BHK,2,3,69.00,1210.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,3 BHK,3,1,110.00,1660.00
Super built-up  Area, ,Ready To Move,Ready To Move,Malleshwaram,2 BHK,2,3,125.00,1410.00
Super built-up  Area,June,Scheduled dates,18-Jun,Electronics City Phase 1,2 BHK,2,1,67.00,1305.00
Built-up  Area, ,Ready To Move,Ready To Move,Kavika Layout,6 BHK,6,2,101.00,1800.00
Built-up  Area, ,Ready To Move,Ready To Move,Bannerghatta Road,2 BHK,2,3,53.00,1206.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bannerghatta Road,2 BHK,2,2,55.00,1150.00
Carpet  Area, ,Ready To Move,Ready To Move,Dinnur,2 BHK,2,Not Provided,65.00,1100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Banashankari Stage II,2 BHK,2,1,125.00,1245.00
Built-up  Area, ,Ready To Move,Ready To Move,Cooke Town,3 BHK,3,3,110.00,1850.00
Built-up  Area,March,Scheduled dates,18-Mar,Hoodi,4 BHK,4,1,220.00,3385.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sompura,4 BHK,3,2,85.00,2150.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hebbal,3 BHK,3,1,390.00,3895.00
Super built-up  Area,September,Scheduled dates,17-Sep,Lingarajapuram,2 BHK,2,2,55.00,1035.00
Super built-up  Area, ,Ready To Move,Ready To Move,Nandini Layout,2 BHK,3,2,72.00,600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Zuzuvadi,3 BHK,3,3,75.00,1200.00
Plot  Area, ,Ready To Move,Ready To Move,BCC Layout,7 BHK,6,2,235.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronics City Phase 1,1 BHK,1,0,30.12,755.00
Built-up  Area, ,Ready To Move,Ready To Move,Ramamurthy Nagar,2 BHK,2,2,35.00,960.00
Super built-up  Area, ,Ready To Move,Ready To Move,Harsha Layout,1 BHK,1,1,20.00,450.00
Super built-up  Area, ,Ready To Move,Ready To Move,Infantry Road,5 BHK,5,Not Provided,680.00,4000.00
